ALGORITMOS E PROGRAMACAO II [turma 02D11] - 2020/2,Lab02 - envio da Agenda Eletrônica está marcado(a) para esta data,Enviar aqui .py com a agenda solicitada,Tarefa para entregar via Moodle,"sexta, 4 setembro",11:00,https://eadmoodle.mackenzie.br/mod/assign/view.php?id=805636
ALGORITMOS E PROGRAMACAO II [turma 02D] - 2020/2,"Exercícios 1 a 6 da ""Lista de vetores"" está marcado(a) para esta data",Descrição não disponível,Tarefa para entregar via Moodle,"domingo, 6 setem",23:00,https://eadmoodle.mackenzie.br/mod/assign/view.php?id=884346
MATEMATICA DISCRETA II [turma 02D] - 2020/2,ATIVIDADE DE AULA 01 -RELAÇÕES DISCRETAS está marcado(a) para esta data,Descrição não disponível,Tarefa para entregar via Moodle,"segunda, 7 setembro",00:00,https://eadmoodle.mackenzie.br/mod/assign/view.php?id=887044
ALGEBRA BOOLEANA E CIRC DIGITAIS [turma 02D] - 2020/2,"ENTREGUE AQUI A SUA ATIVIDADE 3 (em PDF até 07/09/2020, 09:10hs) está marcado(a) para esta data",Descrição não disponível,Tarefa para entregar via Moodle,"segunda, 7 setembro",09:10,https://eadmoodle.mackenzie.br/mod/assign/view.php?id=805649
ANALISE DE DADOS [turma 02D] - 2020/2,Exercício no. 1 - Como descrever distribuições por meio de números está marcado(a) para esta data,"Usando o Exemplo 2.9 (aqui disponível nas Figuras Exemplo 2.9 - 1 e Exemplo 2.9 - 2  e a Tabela 1.1,), entenda o Processo de 4 Passos. Então, em pequenos grupos, resolva o Exercício 2.13, usando o Processo de 4 Passos. 

Este exercício deve ser realizado em grupo de 4 a 5 alunos. Não serão aceitos exercícios individuais. Não serão aceitos exercícios feitos em grupos de menos de 4 ou mais de 5 alunos. Basta um elemento do grupo submeter a solução no Moodle. Todas as submissões devem incluir o nome e o TIA de cada membro do grupo. Não serão aceitas inclusões de membros do grupo após a data limite para submissão. 
",Tarefa para entregar via Moodle,"sexta, 11 setembro",23:59,https://eadmoodle.mackenzie.br/mod/assign/view.php?id=492258
ALGORITMOS E PROGRAMACAO II [turma 02D11] - 2020/2,Entrega do Projeto  - Reservas - entrega até 17/09 está marcado(a) para esta data,"O projeto pode ser feito em grupo de até 3 alunos.
Coloque o nome dos componentes do grupo no início do código.
Todos os componentes do grupo enviam o projeto.",Tarefa para entregar via Moodle,"quinta, 17 setembro",23:59,https://eadmoodle.mackenzie.br/mod/assign/view.php?id=380775
